Intelligent Item Chance,2%,,,,,
,,,,,,
Intelligent Item Statistics,,,,,,
d% Range,Mental Ability Scores,Communication,Capabilities,Senses,Base Price Modifier,Notes
01–34,"Two at 12, one at 10",Empathy,One lesser power,30 ft. vision and hearing,"+1,000 gp",[1]
35–59,"Two at 13, one at 10",Empathy,Two lesser powers,60 ft. vision and hearing,"+2,000 gp",[1]
60–79,"Two at 14, one at 10",Speech,Two lesser powers,120 ft. vision and hearing,"+4,000 gp",[2]
80–91,"Two at 15, one at 10",Speech,Three lesser powers,120 ft. vision and hearing,"+5,000 gp",[2]
92–97,"Two at 16, one at 10",Speech,Three lesser powers,60 ft. darkvision and hearing,"+6,000 gp",[2][3]
98,"Two at 17, one at 10","Speech, telepathy",Three lesser powers and one greater power,60 ft. darkvision and hearing,"+9,000 gp",[2][3][4][6]
99,"Two at 18, one at 10","Speech, telepathy",Three lesser powers and two greater powers,"120 ft. darkvision, blindsense, and hearing","+12,000 gp",[2][4][5][6]
100,"Two at 19, one at 10","Speech, telepathy",Four lesser powers and three greater powers,"120 ft. darkvision, blindsense, and hearing","+15,000 gp",[2][4][5][6]
Footnotes (for “Notes” column):,,,,,,
[1] Empathy: possessor feels urges/emotions guiding actions.,,,,,,
[2] Speaking items: speak Common + 1 language per point of Int bonus; can telepathically communicate with wielder.,,,,,,
[3] Can also read any languages it can speak.,,,,,,
[4] Can use either speech or telepathy at will; telepathic with the wielder.,,,,,,
[5] Can read all languages and use read magic.,,,,,,
"[6] May have a special purpose (with a corresponding dedicated power) instead of a greater power, if appropriate.",,,,,,
,,,,,,
Intelligent Item Alignment,,,,,,
d% Range,Alignment,Notes,,,,
01–05,Chaotic good,*,,,,
06–15,Chaotic neutral,*,,,,
16–20,Chaotic evil,,,,,
21–25,Neutral evil,*,,,,
26–30,Lawful evil,,,,,
31–55,Lawful good,,,,,
56–60,Lawful neutral,*,,,,
61–80,Neutral good,*,,,,
81–100,Neutral,,,,,
,,,,,,
Intelligent Item Lesser Powers,,,,,,
d% Range,Lesser Power,Base Price Modifier,,,,
01–05,Item can bless its allies 3/day,"+1,000 gp",,,,
06–10,Item can use faerie fire 3/day,"+1,100 gp",,,,
11–13,Item can cast minor image 1/day,"+2,200 gp",,,,
14–20,Item has deathwatch continually active,"+2,700 gp",,,,
21–25,Item can use detect magic at will,"+3,600 gp",,,,
26–31,Item has 10 ranks in Intimidate,"+5,000 gp",,,,
32–33,Item has 10 ranks in Decipher Script,"+5,000 gp",,,,
34–36,Item has 10 ranks in Knowledge (choose category),"+5,000 gp",,,,
37–40,Item has 10 ranks in Search,"+5,000 gp",,,,
41–45,Item has 10 ranks in Spot,"+5,000 gp",,,,
46–50,Item has 10 ranks in Listen,"+5,000 gp",,,,
51–54,Item has 10 ranks in Spellcraft,"+5,000 gp",,,,
55–60,Item has 10 ranks in Sense Motive,"+5,000 gp",,,,
61–66,Item has 10 ranks in Bluff,"+5,000 gp",,,,
67–72,Item has 10 ranks in Diplomacy,"+5,000 gp",,,,
73–77,Item can cast major image 1/day,"+5,400 gp",,,,
78–80,Item can cast darkness 3/day,"+6,500 gp",,,,
81–83,Item can use hold person on an enemy 3/day,"+6,500 gp",,,,
84–86,Item can activate zone of truth 3/day,"+6,500 gp",,,,
87–89,Item can use daze monster 3/day,"+6,500 gp",,,,
90–95,Item can use locate object 3/day,"+6,500 gp",,,,
96–100,Item can use cure moderate wounds (2d8+3) on wielder 3/day,"+6,500 gp",,,,
,,,,,,
Intelligent Item Greater Powers,,,,,,
d% Range,Greater Power,Base Price Modifier,,,,
01–06,Item can detect opposing alignment at will,"+7,200 gp",,,,
07–10,Item can detect undead at will,"+7,200 gp",,,,
11–13,Item can cause fear in an enemy at will,"+7,200 gp",,,,
14–18,Item can use dimensional anchor on a foe 1/day,"+10,000 gp",,,,
19–23,Item can use dismissal on a foe 1/day,"+10,000 gp",,,,
24–28,Item can use lesser globe of invulnerability 1/day,"+10,000 gp",,,,
29–33,Item can use arcane eye 1/day,"+10,000 gp",,,,
34–37,Item has continuous detect scrying effect,"+10,000 gp",,,,
38–41,Item creates wall of fire in a ring with the wielder at the center 1/day,"+10,000 gp",,,,
42–45,Item can use quench on fires 3/day,"+16,000 gp",,,,
46–50,"Item has status effect, usable at will","+11,000 gp",,,,
51–54,Item can use gust of wind 3/day,"+11,000 gp",,,,
55–59,Item can use clairvoyance 3/day,"+16,000 gp",,,,
60–64,Item can create magic circle against opposing alignment at will,"+16,000 gp",,,,
65–68,Item can use haste on its owner 3/day,"+16,000 gp",,,,
69–73,Item can create daylight 3/day,"+16,000 gp",,,,
